Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,316.500000,318.049988,311.944000,313.862000,172.476105,710072
2012-06-19,312.500000,313.212006,307.037994,309.819000,170.254333,679992
2012-06-20,310.000000,310.600006,306.862000,308.830994,169.711426,563008
2012-06-21,306.875000,312.681000,305.287994,311.524994,171.191849,457992
2012-06-22,306.125000,310.531006,305.375000,309.388000,170.017517,1230912
2012-06-25,310.500000,311.181000,307.375000,308.544006,169.553726,1525112
2012-06-26,306.875000,307.000000,303.912994,305.312012,167.777649,638704
2012-06-27,306.381012,309.250000,305.256012,308.569000,169.567474,393648
2012-06-28,309.375000,312.006012,306.424988,309.087006,169.852112,1437440
2012-06-29,311.263000,314.375000,309.375000,312.819000,171.902939,462144
2012-07-02,312.125000,314.875000,311.381012,312.638000,171.803482,378384
2012-07-03,313.750000,314.000000,309.625000,311.968994,171.435852,397440
2012-07-04,312.000000,313.037994,308.750000,309.912994,170.306000,609984
2012-07-05,310.000000,310.894012,308.125000,310.024994,170.367584,1009608
2012-07-06,311.125000,311.125000,304.888000,305.480988,167.870468,576264
2012-07-09,303.750000,308.625000,300.375000,304.600006,167.386383,475232
2012-07-10,306.250000,307.750000,304.500000,307.388000,168.918457,386480
2012-07-11,306.237000,312.924988,305.500000,308.294006,169.416351,1071184
2012-07-12,283.750000,285.000000,277.006012,283.156006,155.602295,9952032
2012-07-13,279.962006,282.325012,277.513000,278.475006,153.029953,2603192
2012-07-16,279.875000,280.256012,270.500000,271.575012,149.238190,2808040
2012-07-17,273.125000,274.712006,270.375000,271.355988,149.117844,2063072
2012-07-18,271.625000,273.662994,270.437988,271.975006,149.458008,780944
2012-07-19,275.000000,281.062012,274.375000,280.355988,154.063599,1454384
2012-07-20,280.625000,280.625000,275.743988,277.200012,152.329300,694736
2012-07-23,275.000000,276.250000,272.625000,273.269012,150.169128,669176
2012-07-24,274.975006,276.375000,270.787994,271.169006,149.015106,551208
2012-07-25,271.875000,272.487000,268.750000,270.975006,148.908493,910336
